Player_ID,position
591,Midfield
591,Attacking Midfield
592,Defender
592,Right-Back
593,Midfield
593,Central Midfield
594,Attack
594,Centre-Forward
595,Midfield
595,Attacking Midfield
596,Defender
596,Centre-Back
597,Goalkeeper
598,Goalkeeper
599,Defender
599,Centre-Back
600,Defender
600,Centre-Back
601,Defender
601,Left-Back
602,Defender
602,Centre-Back
603,Defender
603,Centre-Back
604,Goalkeeper
605,Defender
605,Left-Back
606,Defender
606,Centre-Back
607,Goalkeeper
608,Attack
608,Right Winger
609,Goalkeeper
610,Defender
610,Centre-Back
611,Defender
611,Left-Back
612,Midfield
612,Attacking Midfield
613,Defender
613,Left-Back
614,Attack
614,Left Winger
615,Defender
615,Left-Back
616,Attack
616,Right Winger
617,Defender
617,Centre-Back
618,Goalkeeper
619,Attack
619,Centre-Forward
620,Defender
620,Centre-Back
621,Defender
621,Right-Back
622,Attack
622,Centre-Forward
623,Defender
623,Right-Back
624,Goalkeeper
625,Defender
625,Centre-Back
626,Midfield
626,Attacking Midfield
627,Attack
627,Second Striker
628,Midfield
628,Defensive Midfield
629,Defender
629,Centre-Back
630,Midfield
630,Defensive Midfield
631,Attack
631,Right Winger
632,Defender
632,Left-Back
633,Midfield
633,Defensive Midfield
634,Midfield
634,Central Midfield
635,Attack
635,Left Winger
636,Goalkeeper
637,Midfield
637,Defensive Midfield
638,Defender
638,Centre-Back
639,Attack
639,Centre-Forward
640,Midfield
640,Defensive Midfield
641,Goalkeeper
642,Defender
642,Centre-Back
643,Defender
643,Centre-Back
644,Midfield
644,Right Midfield
645,Midfield
645,Right Midfield
646,Attack
646,Right Winger
647,Defender
647,Left-Back
648,Defender
648,Right-Back
649,Attack
649,Centre-Forward
650,Midfield
650,Central Midfield
651,Defender
651,Left-Back
652,Defender
652,Right-Back
653,Goalkeeper
654,Attack
654,Centre-Forward
655,Midfield
655,Defensive Midfield
656,Defender
656,Left-Back
657,Attack
657,Centre-Forward
658,Midfield
658,Defensive Midfield
659,Goalkeeper
660,Defender
660,Centre-Back
661,Attack
661,Centre-Forward
662,Defender
662,Centre-Back
663,Attack
663,Centre-Forward
664,Attack
664,Centre-Forward
665,Midfield
665,Attacking Midfield
666,Midfield
666,Central Midfield
667,Midfield
667,Defensive Midfield
668,Defender
668,Right-Back
669,Defender
669,Left-Back
670,Attack
670,Centre-Forward
671,Defender
671,Centre-Back
672,Midfield
672,Attacking Midfield
673,Midfield
673,Central Midfield
674,Goalkeeper
675,Defender
675,Centre-Back
676,Goalkeeper
677,Attack
677,Left Winger
678,Attack
678,Centre-Forward
679,Defender
679,Right-Back
680,Defender
680,Right-Back
681,Attack
681,Centre-Forward
682,Midfield
682,Central Midfield
683,Attack
683,Centre-Forward
684,Goalkeeper
685,Goalkeeper
686,Defender
686,Right-Back
687,Defender
687,Centre-Back
688,Goalkeeper
689,Goalkeeper
690,Attack
690,Centre-Forward
691,Attack
691,Centre-Forward
692,Midfield
692,Attacking Midfield
693,Defender
693,Right-Back
694,Midfield
694,Central Midfield
695,Attack
695,Centre-Forward
696,Defender
696,Centre-Back
697,Attack
697,Left Winger
698,Defender
698,Left-Back
699,Attack
699,Left Winger
700,Attack
700,Centre-Forward
701,Attack
701,Centre-Forward
702,Midfield
702,Central Midfield
703,Attack
703,Centre-Forward
704,Attack
704,Right Winger
705,Goalkeeper
706,Defender
706,Centre-Back
707,Midfield
707,Central Midfield
708,Attack
708,Right Winger
709,Goalkeeper
710,Goalkeeper
711,Goalkeeper
712,Attack
712,Left Winger
713,Defender
713,Centre-Back
714,Midfield
714,Defensive Midfield
715,Attack
715,Left Winger
716,Defender
716,Right-Back
717,Midfield
717,Central Midfield
718,Defender
718,Centre-Back
719,Midfield
719,Defensive Midfield
720,Goalkeeper
721,Defender
721,Right-Back
722,Defender
722,Centre-Back
723,Attack
723,Left Winger
724,Midfield
724,Central Midfield
725,Defender
725,Right-Back
726,Defender
726,Centre-Back
727,Midfield
727,Defensive Midfield
728,Defender
728,Centre-Back
729,Attack
729,Left Winger
730,Attack
730,Centre-Forward
731,Defender
731,Centre-Back
732,Goalkeeper
733,Attack
733,Centre-Forward
734,Midfield
734,Attacking Midfield
735,Defender
735,Centre-Back
736,Midfield
736,Attacking Midfield
737,Midfield
737,Central Midfield
738,Defender
738,Left-Back
739,Goalkeeper
740,Attack
740,Centre-Forward
741,Goalkeeper
742,Defender
742,Left-Back
743,Attack
743,Centre-Forward
744,Attack
744,Centre-Forward
745,Goalkeeper
746,Attack
746,Left Winger
747,Defender
747,Centre-Back
748,Midfield
748,Central Midfield
749,Goalkeeper
750,Goalkeeper
751,Goalkeeper
752,Goalkeeper
753,Defender
753,Right-Back
754,Attack
754,Centre-Forward
755,Midfield
755,Defensive Midfield
756,Attack
756,Centre-Forward
757,Defender
757,Right-Back
758,Defender
758,Centre-Back
759,Defender
759,Right-Back
760,Defender
760,Centre-Back
761,Defender
761,Right-Back
762,Midfield
762,Defensive Midfield
763,Defender
763,Centre-Back
764,Attack
764,Left Winger
765,Goalkeeper
766,Midfield
766,Defensive Midfield
767,Defender
767,Right-Back
768,Defender
768,Centre-Back
769,Defender
769,Left-Back
770,Goalkeeper
771,Goalkeeper
772,Midfield
772,Attacking Midfield
773,Attack
773,Centre-Forward
774,Defender
774,Centre-Back
