Game_ID,Club_Name
271,Bayern Munich
271,Mainz
272,Union Berlin
272,Werder Bremen
273,Dortmund
273,Wolfsburg
274,Leverkusen
274,Ein Frankfurt
275,Stuttgart
275,RB Leipzig
276,M'gladbach
276,Bielefeld
277,Mainz
277,Hertha
278,Freiburg
278,Hertha
279,Stuttgart
279,Augsburg
280,RB Leipzig
280,Dortmund
281,Hoffenheim
281,Schalke 04
282,Leverkusen
282,Werder Bremen
283,Wolfsburg
283,Union Berlin
284,M'gladbach
284,Bayern Munich
285,FC Koln
285,Freiburg
286,Mainz
286,Ein Frankfurt
287,Hertha
287,Bielefeld
288,Hertha
288,Schalke 04
289,Augsburg
289,Werder Bremen
290,Hoffenheim
290,Bielefeld
291,Freiburg
291,Bayern Munich
292,FC Koln
292,Hertha
293,Leverkusen
293,Union Berlin
294,Stuttgart
294,M'gladbach
295,Schalke 04
295,Ein Frankfurt
296,Dortmund
296,Mainz
297,Wolfsburg
297,RB Leipzig
298,Bayern Munich
298,Augsburg
299,Dortmund
299,Leverkusen
300,Ein Frankfurt
300,Freiburg
301,Schalke 04
301,FC Koln
302,Hoffenheim
302,Hertha
303,Stuttgart
303,Bielefeld
304,RB Leipzig
304,Union Berlin
305,Werder Bremen
305,M'gladbach
306,Mainz
306,Wolfsburg
307,M'gladbach
307,Bayern Munich
308,Hoffenheim
308,Augsburg
309,Bielefeld
309,Freiburg
310,Greuther Furth
310,Stuttgart
311,Union Berlin
311,Leverkusen
312,Bochum
312,Wolfsburg
313,Dortmund
313,Ein Frankfurt
314,RB Leipzig
314,Mainz
315,FC Koln
315,Hertha
316,Stuttgart
316,RB Leipzig
317,Mainz
317,Bochum
318,Ein Frankfurt
318,Augsburg
319,Freiburg
319,Dortmund
320,Bielefeld
320,Greuther Furth
321,Hertha
321,Wolfsburg
322,M'gladbach
322,Leverkusen
323,Hoffenheim
323,Union Berlin
324,FC Koln
324,Bayern Munich
325,Hoffenheim
325,Dortmund
326,Augsburg
326,Leverkusen
327,Ein Frankfurt
327,Bielefeld
328,FC Koln
328,Bochum
329,Greuther Furth
329,Mainz
330,Stuttgart
330,Freiburg
331,Hertha
331,Bayern Munich
332,Union Berlin
332,M'gladbach
333,RB Leipzig
333,Wolfsburg
334,Freiburg
334,FC Koln
335,Wolfsburg
335,Greuther Furth
336,Hoffenheim
336,Mainz
337,Dortmund
337,Leverkusen
338,Union Berlin
338,Augsburg
339,Bayern Munich
339,RB Leipzig
340,Ein Frankfurt
340,Stuttgart
341,Hertha
341,Bochum
342,M'gladbach
342,Bielefeld
343,Hertha
343,Greuther Furth
344,M'gladbach
344,Augsburg
345,Bayern Munich
345,Bochum
346,Hoffenheim
346,Bielefeld
347,Mainz
347,Freiburg
348,RB Leipzig
348,FC Koln
349,Leverkusen
349,Stuttgart
350,Dortmund
350,Union Berlin
351,Ein Frankfurt
351,Wolfsburg
352,Greuther Furth
352,Bayern Munich
353,FC Koln
353,Ein Frankfurt
354,Hoffenheim
354,Wolfsburg
355,Mainz
355,Leverkusen
356,RB Leipzig
356,Hertha
357,Bielefeld
357,Union Berlin
358,M'gladbach
358,Dortmund
359,Bochum
359,Stuttgart
360,Augsburg
360,Freiburg
361,FC Koln
361,Greuther Furth
362,Augsburg
362,Dortmund
363,Hertha
363,Freiburg
364,Hoffenheim
364,Stuttgart
365,Wolfsburg
365,M'gladbach
366,Bochum
366,RB Leipzig
367,Mainz
367,Union Berlin
368,Ein Frankfurt
368,Bayern Munich
369,Leverkusen
369,Bielefeld
370,Hoffenheim
370,FC Koln
371,Mainz
371,Dortmund
372,Ein Frankfurt
372,Hertha
373,RB Leipzig
373,Freiburg
374,Greuther Furth
374,Bochum
375,Wolfsburg
375,Union Berlin
376,M'gladbach
376,Stuttgart
377,Bayern Munich
377,Leverkusen
378,Augsburg
378,Bielefeld
379,Augsburg
379,Mainz
380,Bayern Munich
380,Hoffenheim
381,Dortmund
381,Bielefeld
382,RB Leipzig
382,Greuther Furth
383,Wolfsburg
383,Freiburg
384,M'gladbach
384,Hertha
385,FC Koln
385,Leverkusen
386,Union Berlin
386,Stuttgart
